Baseline Calls:	Robot Call						
Scenario 1:	I'm better than you.						
Scenario 2:							
Scenario 3:							
							
Scenario	Round 1 Ability	Round 2 Ability	Round 3 Ability	Blurb	Call	Response 	
1	Pull			Demean Her	Do you have any idea who I am? No? Heathen.	Demean her.	How DARE you open your mouth to me, peon.
1	Pull			Dominate Her	You need to bow down to me, I have boots that need licking.	Dominate Her	You're going to regret this when you meet my toys.
1	Pull			Demand Respect	Bow down to me you peon, I am your god.	Demand Respect	Do you even comprehend the different ways I could make your life hell?
1	Pull			Dismiss Her	You're barely even worthy of hearing my voice.	Dominate Her	So...you're saying you WANT me tie you up and slap you until you like it.
1	Pull			Dismiss Her	Why am I even wasting my breath on you?	Dismiss Her	Huh? Did you say something? I try not to listen to lesser beings. 
1	Pull			Demean Her	I can already tell you're a waste of space and liife.	Demand Respect	Talk to me like that again and I'll show you the true meaning of pain.
1	Pull			Demand Respect	I am everything. You are nothing. I am a boot, and you are an insect.	Dominate Her	Oh. I can't wait to make you cry and taste that sweet sweet suffering. 
1	Pull			Dominate Her	You're only as good as I say you are.	Demand Respect	Hm, your words...yes I think I'll choose you to make an example of. 
1	Pull			Dismiss Her	Your eyes aren't even worthy of seeing in my general direction.	Dominate her	As you sit at my feet one day, think back to what you've said and regret it.
1	Pull			Dominate Her	You need more submission in your eyes when you speak to me.	Dominate her	Mmm, that BITE. I think I'm going to have fun with you. 
1	Pull			Demean Her	Your eyebrows and your makeup, your general appearance offends me.	Act Powerful	I'm sorry, I'm not sure you realize you're speaking to your doom.
1	Pull			Demand Respect	Oh look, the lead insect, come to represent the bugs.	Demean her.	HA! You say that like I don't have bugs more interesting than you under my boot.
1	Shield			Act Aloof	Ugh, I really don't feel like having you talk to me.	Troll her	What is that ANNOYING noise. When did the wind start whining like that?
1	Shield			Act Aloof	Why is this happening, I really don't care who you are.	Be done with her.	I declare that everything you're saying is stupid.
1	Shield			Be Scornful	My instinct is to be mean to you right now....bitch.	Be done with her.	Ugh, whatever. You're stupid and I hate you, so bye.
1	Shield			Be Snide	Your entire being right now confuses me. How are you alive?	Troll her	Ugh, that's the lamest excuse for an insult I've ever heard. Try harder.
1	Shield			Be Snarky	This is how you dress on the first day of school? God help us all.	Be Snarky to Her	Ha. Ha. Ha. Do you see how much I'm laughing? You're hysterical. A riot. Thumbs up.
1	Shield			So Done With Her	Can you at least TRY to pretend you're watching where you walk? Fuck.	UGH	What was that? I wasn't paying attention. You literally put me to sleep. SNORE.
1	Shield			Sarcastic AF	Oh wow, look, you're talking to me. Joy of joys -___-	Troll her	U mad, baby girl? ( ͡° ͜ʖ ͡°)
1	Shield			Be Annoyed	Ugh, your whole, like, AURA just annoys me. Go away.	Be Snarky to Her	Is there an off button with you? Can I mute you or something?
1	Shield			So Done With Her	No! You ruined it! Now I HAVE to know you exist. Ugh. Kill me, please.	UGH	I listen to you and I actually want to die. Anywhere to just be away from you.
1	Shield			So Done With Her	I really don't feel like wasting my time with you. Can you just disappear? Die? Something?	Be Snarky to Her	Can you just go away? I was done with you like 5 second ago. Why are you still here?
1	Shield			Be Annoyed	I already hated this school, did you HAVE to make things worse by talking to me?	UGH	I think listening to you might have actually caused me to die a little inside and now I hate you.
1	Shield			Troll Her	I'm a vampire and I will kill you. Or like, a werewolf, just something to make you go away.	Be done with her.	*sigh* was that really the best you had? Try harder next time. You're boring me now, bye.
2	Pull	Shield		Be Snarky	Senpai is MY chosen one. Go back to building me a tabernacle and washing my feet.	So done with her	You say that, but you're just a false idol, trying to lure Senpai away from his true destiny: me. 
2	Pull	Wallop		Grandstand	I will punch you into the depth of hell and watch your burn if you don't back off of Senpai.	Grandstand	Watch your tone. My fists will carry me through your face and into the arms of my beloved Senpai.
2	Pull	Sing		Be Holier than Thou	You don't deserve Senpai. You haven't even tried to atone for your transgressions. Filth!	Be Holier than Thou	Strong words from filth like you. You need to find a way to cleanse yourself, before I make you. 
2	Pull	Fireball		Tell what others say...	So I heard Senpai was into more godly types...sorry little peon, you're not worth his time.	Share Your Knowledge	HA. I don't think so. I'm all-knowing and I'm not sure it's even possible to imagine Senpai with you.
